TABLE;CODE;PAC1;PAC2;VOLTAGE;PHASES;SEC_PHASES;VOLTAGE_TYPE;FEEDER;TRANSFORMER_TYPE
UCBT;2000233670;12595968PE;;;AN;;BT;BRBBB-FC;
UCBT;107242732;15166160PE;;;ABN;;BT;BRBBB-FC;
UCBT;2000153204;12615682PE;;;AN;;BT;BRBBB-FC;
UCBT;2000152839;13802500PE;;;AN;;BT;BRBBB-FC;
UCBT;2000277670;13315631PE;;;AN;;BT;BRBBB-FC;
UCBT;2000337619;17371196PE;;;AN;;BT;BRBBB-FC;
UCBT;2000153208;15486537PE;;;AN;;BT;BRBBB-FC;
UCBT;2000153096;13802802PE;;;AN;;BT;BRBBB-FC;
UCBT;2000254375;14020389PE;;;AN;;BT;BRBBB-FC;
UCBT;2000258089;15486774PE;;;AN;;BT;BRBBB-FC;
UCBT;90846574;15166171PE;;;AN;;BT;BRBBB-FC;
UCBT;2000254342;14020394PE;;;AN;;BT;BRBBB-FC;
UCBT;11211844;6857672PE;;;AN;;BT;BRBBB-FC;
UCBT;2000620441;16563380PE;;;AN;;BT;BRBBB-FC;
UCBT;2000510492;16167879PE;;;AN;;BT;BRBBB-FC;
UCBT;102218221;13800264PE;;;AN;;BT;BRBBB-FC;
UCBT;2000342697;14934549PE;;;AN;;BT;BRBBB-FC;
UCBT;2000342787;15487244PE;;;AN;;BT;BRBBB-FC;
UCBT;94950287;13982544PE;;;AN;;BT;BRBBB-FC;
UCBT;2000082537;8701404PE;;;AN;;BT;BRBBB-FC;
UCBT;2000082615;13799141PE;;;AN;;BT;BRBBB-FC;
UCBT;2000394647;16261424PE;;;AN;;BT;BRBBB-FC;
UCBT;108896019;13801895PE;;;AN;;BT;BRBBB-FC;
UCBT;2000470041;16195098PE;;;AN;;BT;BRBBB-FC;
UCBT;2000351008;13378867PE;;;AN;;BT;BRBBB-FC;
UCBT;103804264;13800853PE;;;AN;;BT;BRBBB-FC;
UCBT;2000624356;16084041PE;;;AN;;BT;BRBBB-FC;
UCBT;2000532849;15488799PE;;;AN;;BT;BRBBB-FC;
UCBT;2000532865;15488801PE;;;AN;;BT;BRBBB-FC;
UCBT;2000130780;10756398PE;;;AN;;BT;BRBBB-FC;
UCBT;2000130789;13799264PE;;;AN;;BT;BRBBB-FC;
UCBT;2000112356;14014525PE;;;AN;;BT;BRBBB-FC;
UCBT;92638782;6759093PE;;;AN;;BT;BRBBB-FC;
UCBT;104954480;6750175PE;;;AN;;BT;BRBBB-FC;
UCBT;2000130738;10756236PE;;;AN;;BT;BRBBB-FC;
UCBT;2000130713;13799270PE;;;AN;;BT;BRBBB-FC;
UCBT;2000620493;16556065PE;;;AN;;BT;BRBBB-FC;
UCBT;2000470416;14273855PE;;;AN;;BT;BRBBB-FC;
UCBT;96489153;17046472PE;;;AN;;BT;BRBBB-FC;
UCBT;2000871559;17565999PE;;;AN;;BT;BRBBB-FC;
UCBT;92147550;6750337PE;;;AN;;BT;BRBBB-FC;
UCBT;2000729355;16979944PE;;;ABCN;;BT;BRBBB-FC;
UCBT;2000802500;17384529PE;;;AN;;BT;BRBBB-FC;
UCBT;2000801502;17169861PE;;;ABCN;;BT;BRBBB-FC;
UCBT;2000829749;17399086PE;;;AN;;BT;BRBBB-FC;
UCBT;2000739462;16981583PE;;;AN;;BT;BRBBB-FC;
UCBT;2000749561;17040877PE;;;AN;;BT;BRBBB-FC;
UCBT;2000209856;12606208PE;;;AN;;BT;BRBBB-FC;
UCBT;90848119;16351431PE;;;AN;;BT;BRBBB-FC;
UCBT;2000511113;15093262PE;;;AN;;BT;BRBBB-FC;
UCBT;2000494774;16167846PE;;;AN;;BT;BRBBB-FC;
UCBT;14535420;5005739PE;;;AN;;BT;BRBBB-FC;
UCBT;96678134;13799570PE;;;AN;;BT;BRBBB-FC;
UCBT;96681151;13799900PE;;;AN;;BT;BRBBB-FC;
UCBT;17322559;13809050PE;;;AN;;BT;BRBBB-FC;
UCBT;2000130910;16165894PE;;;AN;;BT;BRBBB-FC;
UCBT;16279013;16166018PE;;;AN;;BT;BRBBB-FC;
UCBT;102776763;13800109PE;;;AN;;BT;BRBBB-FC;
UCBT;96681593;13799875PE;;;AN;;BT;BRBBB-FC;
UCBT;2000342861;14177971PE;;;AN;;BT;BRBBB-FC;
UCBT;12513542;13805729PE;;;AN;;BT;BRBBB-FC;
UCBT;14626646;16168321PE;;;AN;;BT;BRBBB-FC;
UCBT;16272280;5074550PE;;;AN;;BT;BRBBB-FC;
UCBT;16337730;13801050PE;;;AN;;BT;BRBBB-FC;
UCBT;2000787657;17044741PE;;;AN;;BT;BRBBB-FC;
