"TABLE","CODE","PAC1","PAC2","VOLTAGE","PHASES","SEC_PHASES","VOLTAGE_TYPE","FEEDER","TRANSFORMER_TYPE","X1","Y1","X2","Y2"
"UCBT","2000152431","12613521PE","",,"AN","","BT","BRBBB-FC","",-49.48450342,-3.75864039499999,0,0
"UCBT","95546641","16379672PE","",,"AN","","BT","BRBBB-FC","",-49.590144685,-3.42211057100002,0,0
"UCBT","2000258134","13324280PE","",,"AN","","BT","BRBBB-FC","",-49.511933456,-3.99812075,0,0
"UCBT","2000481781","15199730PE","",,"AN","","BT","BRBBB-FC","",-49.557890339,-3.52073594900003,0,0
"UCBT","20198320","13798315PE","",,"AN","","BT","BRBBB-FC","",-49.601914066,-3.44688697200002,0,0
"UCBT","95528082","16165447PE","",,"AN","","BT","BRBBB-FC","",-49.507452672,-3.36984555399999,0,0
"UCBT","16812110","13808410PE","",,"AN","","BT","BRBBB-FC","",-49.554173491,-3.51984003600001,0,0
"UCBT","17915215","16166593PE","",,"AN","","BT","BRBBB-FC","",-49.388859615,-4.10812415700002,0,0
"UCBT","17705172","13956173PE","",,"AN","","BT","BRBBB-FC","",-49.391229026,-4.18568797199998,0,0
"UCBT","2000131485","13802614PE","",,"AN","","BT","BRBBB-FC","",-49.41989742,-3.93541941900003,0,0
"UCBT","12571828","13806073PE","",,"AN","","BT","BRBBB-FC","",-49.460633382,-3.82714050099997,0,0
"UCBT","103132339","13800628PE","",,"AN","","BT","BRBBB-FC","",-49.421170014,-4.04463478899999,0,0
"UCBT","13223220","13806169PE","",,"ABN","","BT","BRBBB-FC","",-49.508663458,-3.99748075000002,0,0
"UCBT","100381079","13799938PE","",,"AN","","BT","BRBBB-FC","",-49.603623582,-3.44199991900001,0,0
"UCBT","102537521","16169118PE","",,"AN","","BT","BRBBB-FC","",-49.419598619,-4.13811843799999,0,0
"UCBT","102539818","13800174PE","",,"AN","","BT","BRBBB-FC","",-49.513343461,-3.99686075400001,0,0
"UCBT","17655035","13797329PE","",,"AN","","BT","BRBBB-FC","",-49.345853159,-3.57892989200002,0,0
"UCBT","13952787","13807307PE","",,"AN","","BT","BRBBB-FC","",-49.571114001,-3.77403057599997,0,0
"UCBT","96688237","16483837PE","",,"AN","","BT","BRBBB-FC","",-49.603633579,-3.444669928,0,0
"UCBT","2000131491","13802613PE","",,"AN","","BT","BRBBB-FC","",-49.420011507,-3.93573005299999,0,0
"UCBT","2000149856","13802550PE","",,"AN","","BT","BRBBB-FC","",-49.60246698,-3.44582035799999,0,0
"UCBT","14500707","13807896PE","",,"AN","","BT","BRBBB-FC","",-49.508013451,-3.998560747,0,0
"UCBT","103282403","16167117PE","",,"AN","","BT","BRBBB-FC","",-49.504615086,-3.91223673299999,0,0
"UCBT","2000412807","14113630PE","",,"ABN","","BT","BRBBB-FC","",-49.510823761,-3.99783069300003,0,0
"UCBT","2000151681","17523860PE","",,"AN","","BT","BRBBB-FC","",-49.485573413,-3.76179044899999,0,0
"UCBT","87795896","13798433PE","",,"AN","","BT","BRBBB-FC","",-49.614273606,-3.811590475,0,0
"UCBT","17433342","13808962PE","",,"AN","","BT","BRBBB-FC","",-49.489343421,-3.76740041099998,0,0
"UCBT","2000510745","15093244PE","",,"AN","","BT","BRBBB-FC","",-49.500431307,-4.140520305,0,0
"UCBT","16816140","13808369PE","",,"AN","","BT","BRBBB-FC","",-49.463973386,-3.55963010200003,0,0
"UCBT","96680856","13799903PE","",,"AN","","BT","BRBBB-FC","",-49.587783534,-3.42083991599998,0,0
